Temps t / s;Tension U_B1 / V;Tension U_A1 / V
10,32;-0,1086;3,58
10,34;-0,108;3,445
10,36;-0,1074;3,31
10,38;-0,10725;3,17
10,4;-0,10635;3,035
10,42;-0,105;2,9
10,44;-0,1032;2,765
10,46;-0,1011;2,635
10,48;-0,0987;2,51
10,5;-0,09675;2,385
10,52;-0,09375;2,265
10,54;-0,09045;2,155
10,56;-0,0861;2,04
10,58;-0,08145;1,935
10,6;-0,0768;1,84
10,62;-0,072;1,745
10,64;-0,06645;1,665
10,66;-0,06135;1,585
10,68;-0,05475;1,515
10,7;-0,0477;1,45
10,72;-0,04155;1,4
10,74;-0,03465;1,36
10,76;-0,02745;1,325
10,78;-0,0201;1,3
10,8;-0,0129;1,28
10,82;-0,00555;1,275
10,84;0,00135;1,275
10,86;0,0087;1,285
10,88;0,01605;1,31
10,9;0,02355;1,335
10,92;0,0309;1,375
10,94;0,03825;1,425
10,96;0,04425;1,48
10,98;0,0507;1,545
11;0,0564;1,615
11,02;0,063;1,695
11,04;0,06885;1,78
11,06;0,0726;1,87
11,08;0,07785;1,965
11,1;0,0825;2,075
11,12;0,0864;2,18
11,14;0,0894;2,29
11,16;0,09345;2,41
11,18;0,0963;2,53
11,2;0,0987;2,65
11,22;0,1011;2,775
11,24;0,10335;2,905
11,26;0,105;3,035
11,28;0,10605;3,17
11,3;0,1074;3,3
11,32;0,1083;3,435
11,34;0,1092;3,57
11,36;0,11115;3,71
11,38;0,1122;3,85
11,4;0,11265;3,985
11,42;0,11295;4,125
11,44;0,1134;4,27
11,46;0,1146;4,41
11,48;0,1155;4,55
11,5;0,1152;4,695
11,52;0,1149;4,835
11,54;0,11535;4,98
11,56;0,11595;5,12
11,58;0,11625;5,265
11,6;0,1176;5,41
11,62;0,11835;5,56
11,64;0,1182;5,705
11,66;0,11775;5,85
11,68;0,1179;5,995
11,7;0,11925;6,145
11,72;0,1197;6,29
11,74;0,11985;6,435
11,76;0,11925;6,59
11,78;0,11805;6,735
11,8;0,1188;6,88
11,82;0,1176;7,025
11,84;0,11625;7,165
11,86;0,1149;7,31
11,88;0,1134;7,45
11,9;0,1116;7,585
11,92;0,10875;7,72
11,94;0,10515;7,85
11,96;0,10185;7,975
11,98;0,09765;8,09
12;0,09345;8,2
12,02;0,08895;8,31
12,04;0,08355;8,41
12,06;0,07785;8,505
12,08;0,0717;8,59
12,1;0,06555;8,665
12,12;0,0588;8,73
12,14;0,0516;8,79
12,16;0,0438;8,84
12,18;0,0363;8,88
12,2;0,0288;8,91
12,22;0,02145;8,93
12,24;0,0132;8,94
12,26;0,0048;8,945
12,28;-0,0033;8,93
12,3;-0,0108;8,91
12,32;-0,0183;8,88
12,34;-0,02535;8,845
12,36;-0,03285;8,795
12,38;-0,04125;8,735
12,4;-0,048;8,67
12,42;-0,0546;8,595
12,44;-0,0603;8,51
12,46;-0,06675;8,42
12,48;-0,07185;8,325
12,5;-0,07575;8,22
12,52;-0,0804;8,12
12,54;-0,08535;8
12,56;-0,08985;7,885
12,58;-0,09315;7,76
12,6;-0,09555;7,635
12,62;-0,0975;7,505
12,64;-0,10005;7,38
12,66;-0,10335;7,24
12,68;-0,10485;7,105
12,7;-0,10665;6,965
12,72;-0,108;6,825
12,74;-0,1083;6,685
12,76;-0,1086;6,545
12,78;-0,1098;6,4
12,8;-0,11145;6,255
12,82;-0,1122;6,11
12,84;-0,1119;5,965
12,86;-0,11235;5,82
12,88;-0,1137;5,67
12,9;-0,11475;5,52
12,92;-0,11445;5,37
12,94;-0,11505;5,22
12,96;-0,11535;5,075
12,98;-0,11535;4,925
13;-0,1158;4,77
13,02;-0,1164;4,62
13,04;-0,117;4,47
13,06;-0,11745;4,32
13,08;-0,11775;4,165
13,1;-0,11745;4,015
13,12;-0,1176;3,86
13,14;-0,1179;3,71
13,16;-0,1176;3,555
13,18;-0,11685;3,405
13,2;-0,117;3,25
13,22;-0,11625;3,1
13,24;-0,11505;2,955
13,26;-0,11295;2,81
13,28;-0,11115;2,665
13,3;-0,1092;2,52
13,32;-0,1065;2,385
13,34;-0,10335;2,25
13,36;-0,09915;2,125
13,38;-0,0948;2
13,4;-0,09105;1,89
13,42;-0,0855;1,775
13,44;-0,08055;1,675
13,46;-0,07485;1,575
13,48;-0,0684;1,49
13,5;-0,0618;1,41
13,52;-0,05445;1,34
13,54;-0,04695;1,275
13,56;-0,0399;1,225
13,58;-0,03195;1,185
13,6;-0,02355;1,155
13,62;-0,01545;1,135
13,64;-0,00705;1,125
13,66;0,0015;1,125
13,68;0,0096;1,14
13,7;0,0168;1,16
13,72;0,02505;1,19
13,74;0,0324;1,235
13,76;0,0408;1,285
13,78;0,048;1,345
13,8;0,05505;1,41
13,82;0,0615;1,49
13,84;0,06855;1,575
13,86;0,0747;1,67
13,88;0,07965;1,765
13,9;0,0852;1,87
13,92;0,09;1,985
13,94;0,0942;2,1
13,96;0,0975;2,225
13,98;0,1014;2,35
14;0,1044;2,475
14,02;0,1071;2,61
14,04;0,10965;2,75
14,06;0,11175;2,885
14,08;0,1137;3,025
14,1;0,11535;3,17
14,12;0,1164;3,315
14,14;0,11745;3,46
14,16;0,1191;3,61
14,18;0,12075;3,755
14,2;0,12105;3,91
14,22;0,12105;4,055
14,24;0,1221;4,205
14,26;0,1236;4,36
14,28;0,12405;4,515
14,3;0,1236;4,665
14,32;0,1236;4,82
14,34;0,12435;4,975
14,36;0,12435;5,125
14,38;0,1257;5,285
14,4;0,12705;5,44
14,42;0,1266;5,595
14,44;0,12585;5,75
14,46;0,12645;5,91
14,48;0,12765;6,065
14,5;0,12855;6,225
14,52;0,12795;6,385
14,54;0,12705;6,54
14,56;0,1269;6,7
14,58;0,12675;6,855
14,6;0,12555;7,01
14,62;0,1242;7,165
14,64;0,12315;7,32
14,66;0,12165;7,465
14,68;0,11865;7,61
14,7;0,1155;7,75
14,72;0,1119;7,89
14,74;0,1089;8,025
14,76;0,1047;8,15
14,78;0,09975;8,27
