Temps t / s;Tension U_A1 / V;Tension U_B1 / V
54,3;7,08;0,00135
54,4;7,06;-0,0015
54,5;7,025;-0,00395
54,6;6,98;-0,0064
54,7;6,915;-0,0083
54,8;6,84;-0,00985
54,9;6,755;-0,01195
55;6,66;-0,01275
55,1;6,565;-0,0144
55,2;6,45;-0,01585
55,3;6,335;-0,0161
55,4;6,22;-0,0158
55,5;6,11;-0,0156
55,6;5,995;-0,01525
55,699;5,89;-0,01475
55,8;5,78;-0,0138
55,901;5,685;-0,013
56;5,59;-0,01235
56,1;5,5;-0,01275
56,2;5,41;-0,012
56,3;5,32;-0,01205
56,4;5,235;-0,0107
56,5;5,16;-0,0097
56,6;5,085;-0,00895
56,7;5,02;-0,0078
56,801;4,96;-0,0071
56,9;4,9;-0,00625
56,999;4,85;-0,00525
57,1;4,805;-0,00455
57,2;4,77;-0,0033
57,3;4,74;-0,00175
57,4;4,72;-0,00025
57,5;4,71;0,0009
57,599;4,7;0,00185
57,7;4,7;0,00195
57,801;4,695;0,0016
57,9;4,69;0,0015
57,999;4,685;0,00135
58,1;4,68;0,0008
58,199;4,67;0,00095
58,3;4,655;0,0004
58,399;4,64;0
58,499;4,625;-0,00135
58,6;4,595;-0,00245
58,7;4,56;-0,00405
58,799;4,51;-0,00555
58,899;4,455;-0,0072
58,999;4,385;-0,0101
59,1;4,3;-0,01225
59,199;4,195;-0,01475
59,301;4,07;-0,0178
59,4;3,94;-0,02005
59,5;3,79;-0,022
59,599;3,625;-0,0241
59,7;3,455;-0,02455
59,799;3,285;-0,0248
59,9;3,125;-0,0221
59,999;2,985;-0,01865
60,101;2,865;-0,01405
60,2;2,79;-0,00765
60,3;2,755;-0,00055
60,401;2,765;0,0065
60,5;2,82;0,0131
60,6;2,91;0,0185
60,699;3,04;0,0241
60,8;3,195;0,0277
60,9;3,37;0,03115
61;3,555;0,03235
61,1;3,75;0,03305
61,2;3,945;0,0332
61,3;4,14;0,03295
61,4;4,33;0,03255
61,499;4,525;0,03345
61,599;4,715;0,03225
61,7;4,9;0,0306
61,8;5,08;0,03085
61,9;5,26;0,03135
62;5,44;0,02985
62,1;5,61;0,02955
62,199;5,785;0,0302
62,3;5,965;0,0301
62,4;6,14;0,03095
62,5;6,325;0,03
62,6;6,49;0,0284
62,7;6,645;0,0252
62,799;6,775;0,02265
62,901;6,89;0,018
63;6,97;0,0132
63,1;7,015;0,00705
63,2;7,02;0,00065
63,3;6,99;-0,00395
63,4;6,93;-0,0085
63,499;6,855;-0,0113
63,599;6,755;-0,0142
63,7;6,645;-0,0157
63,801;6,52;-0,018
63,9;6,39;-0,0181
64;6,27;-0,01665
64,1;6,155;-0,01565
64,2;6,045;-0,0138
64,3;5,955;-0,0118
64,4;5,875;-0,00905
64,499;5,815;-0,00585
64,599;5,775;-0,00325
64,7;5,755;-0,0004
64,799;5,75;0,0025
64,9;5,76;0,0048
64,999;5,785;0,0074
65,1;5,83;0,0102
65,201;5,89;0,0126
65,3;5,97;0,01535
65,399;6,065;0,0183
65,5;6,175;0,02045
65,599;6,3;0,02395
65,699;6,445;0,02475
65,8;6,59;0,0251
65,9;6,725;0,0243
66;6,865;0,0234
66,1;6,99;0,02205
66,199;7,1;0,0185
66,299;7,18;0,0129
66,4;7,22;0,00645
66,499;7,22;0
66,6;7,18;-0,0065
66,699;7,105;-0,01185
66,8;7;-0,0159
66,9;6,87;-0,0185
67;6,73;-0,02055
67,099;6,58;-0,0229
67,199;6,41;-0,0245
67,3;6,24;-0,02435
67,401;6,07;-0,0246
67,5;5,9;-0,02345
67,599;5,75;-0,02185
67,699;5,595;-0,022
67,799;5,44;-0,02235
67,9;5,285;-0,02125
68;5,14;-0,0204
68,099;5;-0,02
68,2;4,85;-0,02145
68,299;4,7;-0,0209
68,399;4,56;-0,02035
68,5;4,415;-0,01985
68,6;4,28;-0,0191
68,7;4,145;-0,01845
68,8;4,02;-0,01705
68,901;3,9;-0,0158
69;3,795;-0,01395
69,1;3,705;-0,0117
69,2;3,625;-0,00885
69,3;3,57;-0,0058
69,4;3,535;-0,00265
69,5;3,515;0,00015
69,6;3,51;0,0023
69,699;3,515;0,0041
69,8;3,535;0,0055
69,9;3,56;0,0064
69,999;3,59;0,0069
70,101;3,615;0,00595
70,201;3,64;0,0051
70,3;3,65;0,00405
70,399;3,655;0,0027
70,5;3,655;0,0011
70,6;3,645;-0,00025
70,7;3,625;-0,00135
70,8;3,59;-0,00325
70,899;3,55;-0,00475
70,999;3,5;-0,0061
71,1;3,445;-0,0073
71,199;3,38;-0,00755
71,299;3,32;-0,0072
71,4;3,255;-0,0079
71,5;3,19;-0,00735
71,6;3,14;-0,00585
71,701;3,095;-0,00375
71,8;3,07;-0,0009
71,9;3,06;0,0017
72;3,07;0,0043
72,099;3,095;0,00715
72,199;3,135;0,00985
72,3;3,195;0,013
72,401;3,27;0,01415
72,499;3,355;0,01635
72,6;3,45;0,0183
72,699;3,555;0,0198
72,8;3,67;0,02025
72,9;3,785;0,0206
73,001;3,905;0,02085
73,1;4,025;0,0206
73,199;4,14;0,02055
73,3;4,255;0,0201
73,4;4,37;0,01925
73,5;4,475;0,0189
73,6;4,58;0,0187
73,7;4,685;0,01775
73,8;4,775;0,01635
73,9;4,855;0,01425
74;4,925;0,01265
74,099;4,985;0,0116
74,199;5,04;0,0092
74,299;5,075;0,0072
74,4;5,1;0,0051
74,499;5,105;0,0032
74,599;5,105;0,00125
74,7;5,09;-0,0008
74,8;5,07;-0,002
74,9;5,03;-0,00425
75;4,985;-0,006
75,099;4,925;-0,0076
75,199;4,85;-0,0098
75,299;4,765;-0,01285
75,399;4,66;-0,01545
75,5;4,535;-0,0169
75,6;4,41;-0,0188
75,7;4,27;-0,0201
75,8;4,125;-0,02185
75,899;3,97;-0,0229
76;3,81;-0,0233
76,1;3,65;-0,02315
76,201;3,495;-0,02125
76,301;3,355;-0,0194
