Temps t / s;Tension U_B1 / V;Tension U_A1 / V
14,18;0,02;3,955
14,2;0,0203;3,98
14,22;0,02;4,01
14,24;0,02;4,035
14,26;0,01995;4,06
14,28;0,01985;4,085
14,3;0,01995;4,115
14,32;0,01985;4,14
14,34;0,0199;4,165
14,36;0,01985;4,19
14,38;0,02;4,22
14,4;0,01965;4,245
14,42;0,0196;4,27
14,44;0,0198;4,295
14,46;0,01985;4,325
14,48;0,02005;4,35
14,5;0,02015;4,38
14,52;0,02035;4,405
14,54;0,02045;4,43
14,56;0,0207;4,46
14,58;0,0209;4,485
14,6;0,02085;4,515
14,62;0,02095;4,54
14,64;0,0209;4,57
14,66;0,02075;4,595
14,68;0,0206;4,625
14,7;0,02065;4,65
14,72;0,02045;4,675
14,74;0,0201;4,705
14,76;0,0199;4,725
14,78;0,0196;4,755
14,8;0,0196;4,78
14,82;0,01955;4,81
14,84;0,02005;4,83
14,86;0,01955;4,86
14,88;0,01975;4,88
14,9;0,01955;4,91
14,92;0,01955;4,935
14,94;0,0198;4,96
14,96;0,02025;4,985
14,98;0,02045;5,015
15;0,0206;5,04
15,02;0,0208;5,065
15,04;0,02085;5,095
15,06;0,02105;5,12
15,08;0,0212;5,15
15,1;0,0215;5,18
15,12;0,02155;5,205
15,14;0,0215;5,23
15,16;0,02155;5,26
15,18;0,02145;5,285
15,2;0,0214;5,315
15,22;0,02145;5,345
15,24;0,0212;5,37
15,26;0,0209;5,4
15,28;0,0209;5,425
15,3;0,0209;5,45
15,32;0,021;5,475
15,34;0,0212;5,505
15,36;0,0212;5,535
15,38;0,02155;5,56
15,4;0,0217;5,59
15,42;0,02195;5,615
15,44;0,0221;5,645
15,46;0,02225;5,675
15,48;0,0226;5,7
15,5;0,02275;5,73
15,52;0,023;5,76
15,54;0,02315;5,79
15,56;0,0231;5,82
15,58;0,0228;5,845
15,6;0,0227;5,88
15,62;0,02275;5,91
15,64;0,0231;5,935
15,66;0,02335;5,965
15,68;0,0237;5,995
15,7;0,02395;6,025
15,72;0,0239;6,055
15,74;0,0239;6,085
15,76;0,02425;6,115
15,78;0,02405;6,145
15,8;0,02385;6,175
15,82;0,02325;6,205
15,84;0,0228;6,235
15,86;0,0226;6,265
15,88;0,02215;6,295
15,9;0,0219;6,315
15,92;0,0217;6,345
15,94;0,0215;6,375
15,96;0,0211;6,4
15,98;0,02035;6,43
16;0,0199;6,45
16,02;0,0192;6,475
16,04;0,0186;6,495
16,06;0,0179;6,515
16,08;0,0174;6,54
16,1;0,01695;6,56
16,12;0,0166;6,585
16,14;0,01605;6,6
16,16;0,01535;6,62
16,18;0,0147;6,64
16,2;0,014;6,655
16,22;0,01305;6,675
16,24;0,0124;6,69
16,26;0,01145;6,7
16,28;0,0106;6,715
16,3;0,00975;6,725
16,32;0,00875;6,74
16,34;0,0079;6,75
16,36;0,0068;6,755
16,38;0,006;6,76
16,4;0,005;6,765
16,42;0,00415;6,77
16,44;0,0033;6,775
16,46;0,0026;6,775
16,48;0,0016;6,78
16,5;0,00065;6,78
16,52;-5E-05;6,775
16,54;-0,00105;6,775
16,56;-0,00185;6,775
16,58;-0,00265;6,77
16,6;-0,00355;6,765
16,62;-0,00445;6,755
16,64;-0,0052;6,75
16,66;-0,0058;6,74
16,68;-0,0063;6,73
16,7;-0,007;6,725
16,72;-0,0077;6,715
16,74;-0,0083;6,7
16,76;-0,0088;6,69
16,78;-0,0091;6,68
16,8;-0,00975;6,665
16,82;-0,0106;6,65
16,84;-0,0111;6,635
16,86;-0,0116;6,62
16,88;-0,01215;6,605
16,9;-0,01265;6,59
16,92;-0,01305;6,57
16,94;-0,0133;6,555
16,96;-0,0135;6,535
16,98;-0,0136;6,515
17;-0,0141;6,5
17,02;-0,01445;6,48
17,04;-0,015;6,465
17,06;-0,0154;6,44
17,08;-0,0157;6,42
17,1;-0,01595;6,4
17,12;-0,0161;6,375
17,14;-0,01655;6,355
17,16;-0,01665;6,335
17,18;-0,0168;6,315
17,2;-0,0169;6,29
17,22;-0,0166;6,265
17,24;-0,0164;6,245
17,26;-0,01625;6,225
17,28;-0,016;6,205
17,3;-0,0158;6,18
17,32;-0,01535;6,16
17,34;-0,0151;6,145
17,36;-0,0152;6,125
17,38;-0,01495;6,105
17,4;-0,0147;6,085
17,42;-0,0143;6,065
17,44;-0,014;6,045
17,46;-0,01395;6,03
17,48;-0,01365;6,015
17,5;-0,01315;5,995
17,52;-0,0128;5,975
17,54;-0,01255;5,96
17,56;-0,0121;5,945
17,58;-0,0117;5,925
17,6;-0,0111;5,915
17,62;-0,0108;5,895
17,64;-0,0103;5,885
17,66;-0,00985;5,87
17,68;-0,0094;5,86
17,7;-0,0088;5,85
17,72;-0,0082;5,835
17,74;-0,0075;5,83
17,76;-0,007;5,815
17,78;-0,0064;5,805
17,8;-0,006;5,8
17,82;-0,00545;5,79
17,84;-0,0049;5,785
17,86;-0,0043;5,775
17,88;-0,00375;5,77
17,9;-0,003;5,77
17,92;-0,00235;5,765
17,94;-0,0017;5,76
17,96;-0,00115;5,76
17,98;-0,00065;5,755
18;0,0002;5,755
18,02;0,00065;5,755
18,04;0,00105;5,76
18,06;0,00185;5,76
18,08;0,00235;5,76
18,1;0,00305;5,76
18,12;0,00335;5,765
18,14;0,0037;5,77
18,16;0,0041;5,775
18,18;0,00485;5,78
18,2;0,0053;5,785
18,22;0,0059;5,79
18,24;0,0065;5,795
18,26;0,00695;5,805
18,28;0,00755;5,815
18,3;0,0082;5,82
18,32;0,00885;5,835
18,34;0,00945;5,845
18,36;0,01;5,855
18,38;0,0107;5,87
18,4;0,0113;5,885
18,42;0,0118;5,895
18,44;0,01245;5,91
18,46;0,013;5,925
18,48;0,0139;5,94
18,5;0,0144;5,96
18,52;0,01445;5,98
18,54;0,0149;5,995
18,56;0,01545;6,015
18,58;0,01605;6,03
18,6;0,01645;6,055
18,62;0,01715;6,07
18,64;0,0179;6,095
18,66;0,01865;6,115
18,68;0,0195;6,14
18,7;0,0202;6,165
18,72;0,0208;6,19
18,74;0,02135;6,215
18,76;0,022;6,245
18,78;0,02245;6,27
18,8;0,02265;6,295
18,82;0,0227;6,325
18,84;0,02275;6,35
18,86;0,02285;6,38
18,88;0,02335;6,41
18,9;0,02365;6,44
18,92;0,0239;6,465
18,94;0,0237;6,495
18,96;0,0237;6,525
18,98;0,0237;6,555
19;0,02365;6,58
19,02;0,0239;6,61
19,04;0,0242;6,635
19,06;0,0241;6,665
19,08;0,02415;6,7
19,1;0,02425;6,725
19,12;0,0242;6,755
19,14;0,02435;6,785
19,16;0,0244;6,815
19,18;0,02445;6,845
19,2;0,02445;6,875
19,22;0,0241;6,905
19,24;0,0236;6,925
19,26;0,023;6,955
19,28;0,0219;6,985
19,3;0,02085;7,005
19,32;0,0197;7,03
19,34;0,01895;7,055
19,36;0,0182;7,075
19,38;0,0173;7,095
19,4;0,01635;7,11
19,42;0,01515;7,13
19,44;0,0142;7,145
19,46;0,0131;7,16
19,48;0,012;7,175
19,5;0,0107;7,185
19,52;0,0094;7,195
19,54;0,00795;7,2
19,56;0,0065;7,21
19,58;0,00505;7,215
19,6;0,00385;7,22
19,62;0,0024;7,215
19,64;0,00115;7,22
19,66;-0,0003;7,215
19,68;-0,0018;7,21
19,7;-0,0028;7,205
19,72;-0,004;7,195
19,74;-0,005;7,19
19,76;-0,00635;7,18
19,78;-0,0077;7,17
19,8;-0,00915;7,15
19,82;-0,01045;7,135
19,84;-0,01225;7,12
19,86;-0,01375;7,1
19,88;-0,01505;7,075
19,9;-0,0161;7,06
19,92;-0,0172;7,03
19,94;-0,01825;7,005
19,96;-0,01905;6,98
19,98;-0,01995;6,95
20;-0,02075;6,925
20,02;-0,0215;6,895
20,04;-0,02195;6,865
20,06;-0,02235;6,835
20,08;-0,0227;6,805
20,1;-0,02325;6,77
20,12;-0,02405;6,74
20,14;-0,02455;6,71
20,16;-0,02495;6,675
20,18;-0,0252;6,64
20,2;-0,0255;6,605
20,22;-0,0262;6,575
20,24;-0,027;6,535
20,26;-0,02765;6,495
20,28;-0,0283;6,46
20,3;-0,029;6,42
20,32;-0,0294;6,38
20,34;-0,0295;6,34
20,36;-0,0296;6,3
20,38;-0,02945;6,26
20,4;-0,02955;6,225
20,42;-0,02985;6,185
20,44;-0,0298;6,145
20,46;-0,03;6,105
20,48;-0,03015;6,065
20,5;-0,03015;6,025
20,52;-0,0304;5,98
20,54;-0,0302;5,94
20,56;-0,03015;5,9
20,58;-0,0301;5,865
