LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1358189,1358189,3,0.9907153844833374,1431.338634613452,878.2381038760808,0.0,103.0,103,20.0,1,,87.97791317593298,0.0,0.0,255.0,115515.0,121.26604859682695,0.9505599959244834,0.7071062007587483
ID1358195,1358195,3,0.9680321216583252,1415.24734418254,892.1020692066005,0.0,104.0,104,20.0,1,,88.17212490479817,0.0,0.0,255.0,115770.0,121.32922072466808,0.9091145067229653,0.6921217620870067
ID1358201,1358201,3,0.9559721350669861,1398.5460481721334,906.2297679919907,0.0,105.0,105,20.0,1,,87.78370144706778,0.0,0.0,255.0,115260.0,121.20253210652328,0.8979044360639166,0.6853114186743552
ID1358207,1358207,3,0.8837239742279053,1366.5556952859495,930.01524823676,0.0,108.0,108,20.0,1,,83.8994668697639,0.0,0.0,255.0,110160.0,119.85902138486418,0.8920294120131911,0.6600392470564492
ID1358213,1358213,3,0.8816580772399902,1368.0418264187297,933.0037989826678,0.0,107.0,107,20.0,1,,84.28789032749428,0.0,0.0,255.0,110670.0,119.99971156423783,0.8911078062081619,0.6619557183122335
ID1358219,1358219,3,0.9409447908401489,1382.2981520995538,916.1299600878657,0.0,109.0,109,20.0,1,,87.006854531607,0.0,0.0,255.0,114240.0,120.94501162563856,0.9259581144711898,0.6917354093375812
ID1358225,1358225,3,0.9269234538078308,1381.8731928462187,921.7553525231968,0.0,106.0,106,20.0,1,,85.06473724295506,0.0,0.0,255.0,111690.0,120.27683228769982,0.88517333814513,0.6641629028887434
ID1358230,1358230,3,0.9967027306556702,1380.8138279873099,906.3794603205434,0.0,111.0,111,20.0,1,,91.86214775323687,0.0,0.0,255.0,120615.0,122.46475366737423,0.9231100644583782,0.7201199170056266
ID1358236,1358236,3,1.0222198963165283,1382.3999157218832,910.862840228407,0.0,110.0,110,20.0,1,,91.86214775323687,0.0,0.0,255.0,120615.0,122.46475366737423,0.9417729137300241,0.7276176651253603
ID1358242,1358242,3,0.9752920269966125,1386.552708625748,901.9503302409304,0.0,112.0,112,20.0,1,,90.11424219345011,0.0,0.0,255.0,118320.0,121.9421183654619,0.9109860682688722,0.7045696145097237
ID1358247,1358247,3,0.9648751616477966,1388.3291812774041,893.3061357787007,0.0,113.0,113,20.0,1,,92.83320639756283,0.0,0.0,255.0,121890.0,122.74338214302708,0.7821753124860653,0.6638790161845647
ID1358288,1358288,3,0.8936781287193298,1470.4717687787904,819.4057144712574,0.0,120.0,120,20.0,1,,121.18811881188118,0.0,0.0,255.0,159120.0,127.39219059496239,0.6573625924708932,0.7546310807375638
ID1358295,1358295,3,0.9172044396400452,1526.9695018967295,782.0486065136342,0.0,123.0,123,20.0,1,,83.8994668697639,0.0,0.0,255.0,110160.0,119.85902138486418,0.9075468676711592,0.666058406974061
ID1358302,1358302,3,0.9241328239440918,1503.3765820604513,799.5185911221192,0.0,122.0,122,20.0,1,,87.006854531607,0.0,0.0,255.0,114240.0,120.94501162563856,0.8559036111201382,0.6635366950514806
ID1358309,1358309,3,0.8791086077690125,1488.3615369724844,810.8460144238381,0.0,121.0,121,20.0,1,,89.33739527798934,0.0,0.0,255.0,117300.0,121.70105170538999,0.6479411102096553,0.5772484801520399
ID1358316,1358316,3,0.9207438230514526,1560.5402075719576,758.6224429687383,0.0,125.0,125,20.0,1,,82.92840822543793,0.0,0.0,255.0,108885.0,119.50104369369294,0.8979296468624605,0.6566346975459052
ID1358323,1358323,3,0.9270502924919128,1593.9941188795908,735.6947782167285,0.0,127.0,127,20.0,1,,84.48210205635948,0.0,0.0,255.0,110925.0,120.0695232719309,0.9067429012079489,0.6691969404254209
ID1358330,1358330,3,0.940236508846283,1574.9674142611373,748.7526859217011,0.0,126.0,126,20.0,1,,84.67631378522468,0.0,0.0,255.0,111180.0,120.13898021919827,0.8971393526191918,0.6666051622578277
ID1358337,1358337,3,0.9196975231170654,1543.5450705095102,770.5175365938849,0.0,124.0,124,20.0,1,,83.31683168316832,0.0,0.0,255.0,109395.0,119.64530977405585,0.9097972671251227,0.6634747876694154
ID1358345,1358345,3,0.926772952079773,1617.923261719269,719.5885754689289,0.0,128.0,128,20.0,1,,84.28789032749428,0.0,0.0,255.0,110670.0,119.99971156423783,0.9065380645620529,0.6679678212404788
ID1357621,1357621,4,0.9772176146507263,700.177798517739,589.5622211007608,0.0,1.0,1,20.0,1,,87.97791317593298,0.0,0.0,255.0,115515.0,121.26604859682695,0.9648455802621186,0.7125146741535681
ID1357626,1357626,4,0.9985926747322083,700.2633535204576,580.5308699212376,0.0,0.0,0,20.0,1,,89.14318354912415,0.0,0.0,255.0,117045.0,121.63993460275358,0.96529714157339,0.7199042794706316
ID1357634,1357634,4,0.9824708104133606,709.1917938258154,646.2562133498444,0.0,5.0,5,20.0,1,,85.06473724295506,0.0,0.0,255.0,111690.0,120.27683228769982,0.9474469366155507,0.6881559064809315
ID1357639,1357639,4,1.0145453214645386,727.9626603022971,682.2338459686442,0.0,7.0,7,20.0,1,,87.78370144706778,0.0,0.0,255.0,115260.0,121.20253210652328,0.9019498661506419,0.686934810990007
ID1357644,1357644,4,0.9982028603553772,704.9717402127147,631.5609931691004,0.0,4.0,4,20.0,1,,86.61843107387662,0.0,0.0,255.0,113730.0,120.81417093139981,0.9894552611546666,0.7131557951469752
ID1357649,1357649,4,0.9955673813819885,718.1899533172411,664.9643789041987,0.0,6.0,6,20.0,1,,87.006854531607,0.0,0.0,255.0,114240.0,120.94501162563856,0.9176061629414339,0.6884817115353388
ID1357653,1357653,4,0.9523352980613708,702.3589634423596,619.1362137316,0.0,3.0,3,20.0,1,,82.73419649657274,0.0,0.0,255.0,108630.0,119.42837120854162,0.9842699671382483,0.6872599154494
ID1357658,1357658,4,0.9742873311042786,700.5796720242473,603.4608056245968,0.0,2.0,2,20.0,1,,86.23000761614622,0.0,0.0,255.0,113220.0,120.68193726901686,0.9729882633695752,0.7047405269191493
ID1357666,1357666,4,1.0382006168365479,758.8703211565171,717.6962140052397,0.0,10.0,10,20.0,1,,88.94897182025895,0.0,0.0,255.0,116790.0,121.57847630332348,0.9454888511841487,0.7111183697839967
ID1357672,1357672,4,1.0356460809707642,737.5886621348282,695.6801463891086,0.0,8.0,8,20.0,1,,88.75476009139375,0.0,0.0,255.0,116535.0,121.5166762894091,0.9205250483153403,0.7001666206092266
ID1357678,1357678,4,1.092766284942627,812.8767886669378,750.1537062131597,0.0,14.0,14,20.0,1,,94.3869002284844,0.0,0.0,255.0,123930.0,123.17194213076796,0.9618300479875743,0.7513925564081786
ID1357684,1357684,4,0.9980696439743042,770.8031902395005,727.5254830202674,0.0,11.0,11,20.0,1,,84.67631378522468,0.0,0.0,255.0,111180.0,120.13898021919827,0.9605182657089031,0.6906256963415245
ID1357690,1357690,4,1.0434738397598267,801.8953039874976,746.6547231628622,0.0,13.0,13,20.0,1,,87.2010662604722,0.0,0.0,255.0,114495.0,121.00991102358212,0.9910150035070912,0.7173589915708378
ID1357696,1357696,4,1.0611050128936768,786.1093671137196,737.7876648887927,0.0,12.0,12,20.0,1,,86.61843107387662,0.0,0.0,255.0,113730.0,120.81417093139981,0.9716349392692986,0.7066413520897619
ID1357702,1357702,4,1.0226852893829346,746.3583150200119,705.9891488523145,0.0,9.0,9,20.0,1,,85.64737242955064,0.0,0.0,255.0,112455.0,120.48096491388809,0.9093481453930761,0.6771278306342255
ID1357708,1357708,4,1.0410360097885132,830.3015800574809,751.9743152398895,0.0,15.0,15,20.0,1,,93.61005331302361,0.0,0.0,255.0,122910.0,122.96030475399509,0.9270899852847265,0.7324997024572724
ID1357714,1357714,4,1.069693684577942,933.7314991158278,759.4290053948513,0.0,20.0,20,20.0,1,,95.35795887281036,0.0,0.0,255.0,125205.0,123.42909784411135,0.9347939665897245,0.746535670391803
ID1357721,1357721,4,1.0908185243606567,844.5058330065893,752.1193045587443,0.0,16.0,16,20.0,1,,97.88271134805788,0.0,0.0,255.0,128520.0,124.05961495247006,0.932660955465651,0.761506615646774
ID1357726,1357726,4,1.0668936967849731,908.7273617564407,754.3579159588886,0.0,19.0,19,20.0,1,,97.1058644325971,0.0,0.0,255.0,127500.0,123.87143673606758,0.9271108009405571,0.7542741683500586
